종목코드,종목명,연도,분기,사용가능일,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,부채비율,영업이익률,순이익률,ROE,주식수,EPS,BPS
012450,한화에어로스페이스,2025,4Q,2026-04-01,26702901249000.0,3089320181000.0,2201983086000.0,53953669604000.0,37165484932000.0,16788184672000.0,221.37881884267134,11.569230445009012,8.246231619054736,13.116266761543043,51563401.0,42704.38030261037,325583.34683935996
012450,한화에어로스페이스,2026,1Q,2026-05-15,5751023496000.0,638892160000.0,526260028000.0,56659594923000.0,39219529796000.0,17440065127000.0,224.88178519059497,11.109190571806351,9.150719491339737,3.0175347635902208,51563401.0,10206.076748118301,338225.65596478013
047050,포스코인터내셔널,2016,1Q,2016-05-15,3883049706000.0,97685011000.0,66697817000.0,8039614314000.0,5612552003000.0,2427062311000.0,231.24878078171434,2.5156775832423506,1.717665805228814,2.748088365828528,113876291.0,585.7041568029292,21313.148590341778
047050,포스코인터내셔널,2016,2Q,2016-08-15,3843115534000.0,82226680000.0,53792950000.0,7689645122000.0,5208262515000.0,2481382607000.0,209.89356902508507,2.1395838681544044,1.3997224263515988,2.1678619753459083,113876291.0,472.3805941308714,21790.160051840816
047050,포스코인터내셔널,2016,3Q,2016-11-15,3836517637000.0,66353804000.0,18763924000.0,7318579339000.0,4847937522000.0,2470641817000.0,196.22178693173151,1.72953209859048,0.48908739058143946,0.7594756905225651,113876291.0,164.77463250010487,21695.84024298789
047050,포스코인터내셔널,2016,4Q,2017-04-01,16492090197000.0,318139080000.0,122212627000.0,8288782432000.0,5785130162000.0,2503652270000.0,231.0676379192227,1.9290403836008077,0.741037828074886,4.881373841903373,113876291.0,1073.205194222562,21985.72018823479
047050,포스코인터내셔널,2017,1Q,2017-05-15,5224458528000.0,110305469000.0,92016499000.0,9192563241000.0,6427221105000.0,2765342136000.0,232.4204669407316,2.1113282536138067,1.7612638421158122,3.327490577100873,123375149.0,745.8268520510561,22414.093587031857
047050,포스코인터내셔널,2017,2Q,2017-08-15,6120806214000.0,96857339000.0,18998881000.0,9786841944000.0,6985979101000.0,2800862843000.0,249.42239204820643,1.582427798129928,0.3103983419135903,0.678322433655849,123375149.0,153.9927704565528,22702.00170538396
047050,포스코인터내셔널,2017,3Q,2017-11-15,5489674789000.0,98012589000.0,19705519000.0,9388203261000.0,6564247958000.0,2823955303000.0,232.44872009930674,1.7853988217370158,0.3589560357834887,0.6977985444410555,123375149.0,159.72032584941397,22889.17440740031
047050,포스코인터내셔널,2017,4Q,2018-04-01,22571653747000.0,401313863000.0,166818739000.0,9169985984000.0,6317509903000.0,2852476081000.0,221.47459693282525,1.7779550736433687,0.739062989667613,5.848208162415788,123375149.0,1352.1259374527685,23120.3455811024
047050,포스코인터내셔널,2018,1Q,2018-05-15,6170974238000.0,150178605000.0,86113059000.0,9780512973000.0,6914864450000.0,2865648523000.0,241.301904071646,2.4336287789895645,1.3954532247068505,3.005011197599685,123375149.0,697.9773455025371,23227.11296583723
047050,포스코인터내셔널,2018,2Q,2018-08-15,6175862011000.0,135958512000.0,38352395000.0,10088541114000.0,7153798988000.0,2934742126000.0,243.76243911251234,2.2014499637109846,0.6210047266549913,1.3068403748398028,123375149.0,310.8599690526007,23787.141493138137
047050,포스코인터내셔널,2018,3Q,2018-11-15,6531794578000.0,69289107000.0,13646837000.0,10270579566000.0,7337527400000.0,2933052166000.0,250.16695867386085,1.0607973991309436,0.20892936599635972,0.46527767757404426,123375149.0,110.61252700087924,23773.443758921014
047050,포스코인터내셔널,2018,4Q,2019-04-01,25173939721000.0,472623104000.0,115741119000.0,9881020333000.0,6991481795000.0,2889538538000.0,241.95842010950193,1.877430029776943,0.4597656158819242,4.005522593933302,123375149.0,938.1234384567997,23420.750138263258
047050,포스코인터내셔널,2019,1Q,2019-05-15,6175050655000.0,164391345000.0,68819632000.0,10169087618000.0,7270954527000.0,2898133091000.0,250.8840794641063,2.6621861776452103,1.1144788252753208,2.3746194477305322,123375149.0,557.8078937112368,23490.412084527656
047050,포스코인터내셔널,2019,2Q,2019-08-15,6418817218000.0,179953457000.0,121459447000.0,9947635597000.0,6914084442000.0,3033551155000.0,227.92048291666273,2.8035298543065634,1.892240312738564,4.003870078136196,123375149.0,984.4725456015458,24588.024246276695
047050,포스코인터내셔널,2019,3Q,2019-11-15,5890380503000.0,163308610000.0,10901113000.0,9837834944000.0,6769089343000.0,3068745601000.0,220.58163898611159,2.7724628301486827,0.18506636361518597,0.35523026074392405,123375149.0,88.3574454690223,24873.28790176375
047050,포스코인터내셔널,2019,4Q,2020-04-01,24422574846000.0,605317746000.0,202398051000.0,8959415088000.0,5911354252000.0,3048060836000.0,193.93819776108955,2.4785173136613015,0.8287334659684719,6.640223469607941,123375149.0,1640.509070428762,24705.63043453751
047050,포스코인터내셔널,2020,1Q,2020-05-15,5510964736000.0,145752062000.0,64267428000.0,9522967354000.0,6480901814000.0,3042065540000.0,213.0428068949494,2.644764918343328,1.166173820350862,2.112624700386961,123375149.0,520.9106414128829,24657.036402039117
047050,포스코인터내셔널,2020,2Q,2020-08-15,5251956192000.0,134411124000.0,90458821000.0,9156517039000.0,6001941142000.0,3154575897000.0,190.26142777886065,2.5592582856030037,1.722383388075298,2.8675430217426783,123375149.0,733.2013110679202,25568.97335135133
047050,포스코인터내셔널,2020,3Q,2020-11-15,5068150483000.0,107061177000.0,54976198000.0,8838997821000.0,5642202863000.0,3196794958000.0,176.4956131728233,2.112430902734898,1.0847388644912104,1.719728625773189,123375149.0,445.60187724677036,25911.17404040582
