날짜,종목코드,시가총액,상장주식수
2018-01-04,008770,3308616600300,39248121
2018-01-04,008930,6819646203000,62279874
2018-01-04,009150,7379737164800,74693696
2018-01-04,009830,5356304167500,164809359
2018-01-04,010130,9076470000000,18870000
2018-01-04,010140,3186300000000,390000000
2018-01-04,010950,12778146892000,112582792
2018-01-04,011070,3431730515000,23667107
2018-01-04,011170,11962121231000,34275419
2018-01-04,011200,1442101949875,311805827
2018-01-04,012330,23995262229500,97343863
2018-01-04,012450,1917270000000,52600000
2018-01-04,015760,23881063664400,641964077
2018-01-04,017670,20953512004500,80745711
2018-01-04,018260,17293938300000,77377800
2018-01-04,021240,7085276058700,74818121
2018-01-04,024110,9183652566000,559978815
2018-01-04,028260,24280325504000,189690043
2018-01-04,029780,4524289693550,115858891
2018-01-04,030200,7702798336000,261111808
2018-01-04,032830,24100000000000,200000000
2018-01-04,033780,15376759664000,137292497
2018-01-04,034730,19771243457000,70360297
2018-01-04,035420,29435672347000,32962679
2018-01-04,035720,10593730212000,67908527
2018-01-04,036570,9269236795000,21939022
2018-01-04,042660,1732975348500,105028809
2018-01-04,047050,2467502980000,123375149
2018-01-04,047810,4766532732300,97475107
2018-01-04,051900,18226435899000,15618197
2018-01-04,051910,27919271656500,70592343
2018-01-04,052690,850395000000,38220000
2018-01-04,055550,23425459597800,474199587
2018-01-04,058470,807845610000,15242370
2018-01-04,064350,1615000000000,85000000
2018-01-04,066570,17346668284000,163647814
2018-01-04,068270,30666606000000,122666424
2018-01-04,069960,2445555084500,23402441
2018-01-04,071050,3856238646400,55725992
2018-01-04,078930,5760753436000,92915378
2018-01-04,086790,15184957080600,296003062
2018-01-04,088350,6036283500000,868530000
2018-01-04,090430,17479088510000,58458490
2018-01-04,093370,933237505300,92399753
2018-01-04,096770,18354414454000,92465564
2018-01-04,097950,4961045622000,13176748
2018-01-04,105560,26341026831000,418111537
2018-01-04,111770,1382517801600,44311468
2018-01-04,120110,2218488342000,25499866
2018-01-04,128940,6541782872000,11163452
2018-01-04,138040,2114710106400,142885818
2018-01-04,139480,7219837121000,27875819
2018-01-04,161390,6602541177700,123875069
2018-01-04,185750,1251403650000,9409050
2018-01-04,207940,25341195000000,66165000
2018-01-04,214370,875554500000,10743000
2018-01-04,241560,3558845393000,100249166
2018-01-04,251270,14582025027500,85026385
2018-01-04,267250,7076535086500,16286617
2018-01-04,267260,1194076611000,10205783
2018-01-04,271560,3992883601000,39533501
2018-01-05,000100,2537332380000,11665896
2018-01-05,000150,2255765352500,19198003
2018-01-05,000270,12951358936650,405363347
2018-01-05,000660,57730587544500,728002365
2018-01-05,000720,4237086858250,111355765
2018-01-05,000810,12341145038500,47374837
2018-01-05,000990,530195592400,44367832
2018-01-05,001450,3942540000000,89400000
2018-01-05,001570,106988828055,42710111
2018-01-05,002380,4148709609000,10556513
2018-01-05,002790,11337999750000,82458180
2018-01-05,003550,15323073232800,172557131
2018-01-05,003670,2410056000000,59070000
2018-01-05,004020,7606409745000,133445785
2018-01-05,004170,2840334718500,9845181
2018-01-05,004990,5157810000000,73683000
2018-01-05,005380,32821195371000,220276479
2018-01-05,005387,3750102340500,37613865
2018-01-05,005490,32084755280000,87186835
2018-01-05,005830,4771920000000,70800000
2018-01-05,005930,336430675364000,129098494
2018-01-05,005935,38563475540000,18250580
2018-01-05,006280,2506762401000,11686538
2018-01-05,006400,15162578865000,68764530
2018-01-05,006800,6210068922560,666316408
2018-01-05,007070,3003000000000,77000000
2018-01-05,008770,3265443667200,39248121
2018-01-05,008930,6944205951000,62279874
2018-01-05,009150,7992225472000,74693696
2018-01-05,009830,5554075398300,164809359
2018-01-05,010130,9236865000000,18870000
2018-01-05,010140,3272100000000,390000000
2018-01-05,010950,12721855496000,112582792
2018-01-05,011070,3443564068500,23667107
2018-01-05,011170,12047809778500,34275419
2018-01-05,011200,1445220008145,311805827
2018-01-05,012330,23995262229500,97343863
2018-01-05,012450,1885710000000,52600000
2018-01-05,015760,23881063664400,641964077
2018-01-05,017670,21599477692500,80745711
2018-01-05,018260,17564760600000,77377800
2018-01-05,021240,7167575991800,74818121
2018-01-05,024110,9379645151250,559978815
2018-01-05,028260,24659705590000,189690043
2018-01-05,029780,4512703804450,115858891
2018-01-05,030200,7807243059200,261111808
2018-01-05,032830,24300000000000,200000000
2018-01-05,033780,14964882173000,137292497
2018-01-05,034730,20298945684500,70360297
2018-01-05,035420,29930112532000,32962679
2018-01-05,035720,10593730212000,67908527
2018-01-05,036570,9258267284000,21939022
2018-01-05,042660,1738226788950,105028809
2018-01-05,047050,2461334222550,123375149
2018-01-05,047810,4698300157400,97475107
2018-01-05,051900,18085872126000,15618197
2018-01-05,051910,28589898915000,70592343
2018-01-05,052690,833196000000,38220000
2018-01-05,055550,23757399308700,474199587
2018-01-05,058470,847475772000,15242370
2018-01-05,064350,1636250000000,85000000
2018-01-05,066570,18164907354000,163647814
2018-01-05,068270,32739668565600,122666424
2018-01-05,069960,2433853864000,23402441
2018-01-05,071050,4040134420000,55725992
2018-01-05,078930,5779336511600,92915378
2018-01-05,086790,15480960142600,296003062
2018-01-05,088350,6079710000000,868530000
2018-01-05,090430,17537547000000,58458490
2018-01-05,093370,937857492950,92399753
2018-01-05,096770,18631811146000,92465564
2018-01-05,097950,4875396760000,13176748
2018-01-05,105560,26800949521700,418111537
2018-01-05,111770,1375871081400,44311468
2018-01-05,120110,2213388368800,25499866
2018-01-05,128940,6675744296000,11163452
2018-01-05,138040,2186153015400,142885818
2018-01-05,139480,7219837121000,27875819
2018-01-05,161390,6714028739800,123875069
2018-01-05,185750,1307857950000,9409050
2018-01-05,207940,25804350000000,66165000
2018-01-05,214370,917452200000,10743000
2018-01-05,241560,3583907684500,100249166
2018-01-05,251270,14156893102500,85026385
2018-01-05,267250,7214971331000,16286617
2018-01-05,267260,1219591068500,10205783
2018-01-05,271560,4012650351500,39533501
2018-01-08,000100,2508167640000,11665896
2018-01-08,000150,2207770345000,19198003
2018-01-08,000270,13133772442800,405363347
2018-01-08,000660,56929784943000,728002365
2018-01-08,000720,4270493587750,111355765
2018-01-08,000810,12506956968000,47374837
2018-01-08,000990,541287550400,44367832
2018-01-08,001450,3951480000000,89400000
2018-01-08,001570,106348176390,42710111
2018-01-08,002380,4148709609000,10556513
2018-01-08,002790,11420457930000,82458180
2018-01-08,003550,15461118937600,172557131
2018-01-08,003670,2359846500000,59070000
2018-01-08,004020,7753200108500,133445785
2018-01-08,004170,2973244662000,9845181
2018-01-08,004990,5047285500000,73683000
2018-01-08,005380,33261748329000,220276479
2018-01-08,005387,3817807297500,37613865
2018-01-08,005490,32215535532500,87186835
2018-01-08,005830,4786080000000,70800000
2018-01-08,005930,335785182894000,129098494
2018-01-08,005935,38380969740000,18250580
2018-01-08,006280,2471702787000,11686538
2018-01-08,006400,15506401515000,68764530
2018-01-08,006800,6369984860480,666316408
2018-01-08,007070,2983750000000,77000000
2018-01-08,008770,3332165472900,39248121
2018-01-08,008930,6944205951000,62279874
