날짜,종목코드,종목명,종가,거래량,시가총액,PER,PBR,상장폐지일,사유
2018-08-21,000030,우리은행,16350,1089890,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-22,000030,우리은행,16300,994363,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-23,000030,우리은행,16250,744591,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-24,000030,우리은행,16350,891123,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-27,000030,우리은행,16350,922012,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-28,000030,우리은행,16500,900899,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-29,000030,우리은행,16650,1125916,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-30,000030,우리은행,16250,1185569,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-31,000030,우리은행,16300,899019,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-09-03,000030,우리은행,16100,885533,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-09-04,000030,우리은행,16100,700806,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-09-05,000030,우리은행,15750,1424582,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-09-06,000030,우리은행,15750,1125829,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-09-07,000030,우리은행,16000,806782,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-09-10,000030,우리은행,16100,709975,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-09-11,000030,우리은행,16200,645286,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-09-12,000030,우리은행,16300,1056142,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-09-13,000030,우리은행,16500,1346916,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-09-14,000030,우리은행,16300,668998,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-09-17,000030,우리은행,16300,676865,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-09-18,000030,우리은행,16100,1689122,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-09-19,000030,우리은행,16100,828450,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-09-20,000030,우리은행,16400,1361078,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-09-21,000030,우리은행,16650,2025893,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
